code,title,description
339991,Gasket Packing and Sealing Device Manufacturing,"This industry comprises establishments primarily engaged in manufacturing gaskets, packing, and sealing devices."
339992,Musical Instrument Manufacturing,"This industry comprises establishments primarily engaged in manufacturing musical instruments."
339993,Fastener Button Needle and Pin Manufacturing,"This industry comprises establishments primarily engaged in manufacturing fasteners, buttons, needles, and pins."
339994,Broom Brush and Mop Manufacturing,"This industry comprises establishments primarily engaged in manufacturing brooms, brushes, and mops."
339995,Burial Casket Manufacturing,"This industry comprises establishments primarily engaged in manufacturing burial caskets."
339999,All Other Miscellaneous Manufacturing,"This industry comprises establishments primarily engaged in manufacturing miscellaneous products."
42,Wholesale Trade,"This sector comprises establishments engaged in wholesaling merchandise, generally without transformation, and rendering services incidental to the sale of merchandise."
423110,Automobile and Other Motor Vehicle Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling automobiles and other motor vehicles."
423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling motor vehicle supplies and new parts."
423130,Tire and Tube Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling tires and tubes."
423140,Motor Vehicle Parts (Used) Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling used motor vehicle parts."
423210,Furniture Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling furniture."
423220,Home Furnishing Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling home furnishings."
423310,Lumber Plywood Millwork and Wood Panel Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling lumber, plywood, millwork, and wood panels."
423320,Brick Stone and Related Construction Material Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling brick, stone, and related construction materials."
423330,Roofing Siding and Insulation Material Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling roofing, siding, and insulation materials."
423390,Other Construction Material Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling other construction materials."
423410,Photographic Equipment and Supplies Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling photographic equipment and supplies."
423420,Office Equipment Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling office equipment."
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling computers, computer peripheral equipment, and software."
423440,Other Commercial Equipment Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling other commercial equipment."
423450,Medical Dental and Hospital Equipment and Supplies Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling medical, dental, and hospital equipment and supplies."
423460,Ophthalmic Goods Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling ophthalmic goods."
423490,Other Professional Equipment and Supplies Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling professional equipment and supplies."
423510,Metal Service Centers and Other Metal Merchant Wholesalers,"This industry comprises establishments primarily engaged in operating metal service centers and other metal merchant wholesalers."
423520,Coal and Other Mineral and Ore Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling coal and other minerals and ores."
423610,Electrical and Electronic Appliance Television and Radio Set Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling electrical and electronic appliances, televisions, and radio sets."
423620,Household Appliance Electric Housewares and Consumer Electronics Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling household appliances, electric housewares, and consumer electronics."
423690,Other Electronic Parts and Equipment Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling other electronic parts and equipment."
423710,Hardware Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling hardware."
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling plumbing and heating equipment and supplies."
423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling warm air heating and air-conditioning equipment and supplies."
423740,Refrigeration Equipment and Supplies Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling refrigeration equipment and supplies."
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling construction and mining machinery and equipment (except oil well machinery and equipment)."
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling farm and garden machinery and equipment."
423830,Industrial Machinery and Equipment Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling industrial machinery and equipment."
423840,Industrial Supplies Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling industrial supplies."
423850,Service Establishment Equipment and Supplies Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling service establishment equipment and supplies."
423860,Transportation Equipment and Supplies (except Motor Vehicle Merchant Wholesalers),"This industry comprises establishments primarily engaged in wholesaling transportation equipment and supplies (except motor vehicles)."
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling sporting and recreational goods and supplies."
423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling toy and hobby goods and supplies."
423930,Recyclable Material Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling recyclable materials."
423940,Jewelry Watch Precious Stone and Precious Metal Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling jewelry, watches, precious stones, and precious metals."
423990,Other Miscellaneous Durable Goods Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling miscellaneous durable goods."
424110,Printing and Writing Paper Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling printing and writing paper."
424120,Stationery and Office Supplies Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling stationery and office supplies."
424130,Industrial and Personal Service Paper Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling industrial and personal service paper."
424210,Drugs and Druggists' Sundries Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling drugs and druggists' sundries."
424310,Piece Goods Notions and Other Dry Goods Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling piece goods, notions, and other dry goods."
424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling men's and boys' clothing and furnishings."
424330,Women's Children's and Infants' Clothing and Accessories Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling women's, children's, and infants' clothing and accessories."
424340,Footwear Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling footwear."
424410,General Line Grocery Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling a general line of groceries."
424420,Packaged Frozen Food Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling packaged frozen food."
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling dairy products (except dried or canned)."
424440,Poultry and Poultry Product Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling poultry and poultry products."
424450,Confectionery Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling confectionery."
424460,Fish and Seafood Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling fish and seafood."
424470,Meat and Meat Product Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling meat and meat products."
424480,Fresh Fruit and Vegetable Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling fresh fruits and vegetables."
424490,Other Grocery and Related Products Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling other grocery and related products."
424510,Grain and Field Bean Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling grain and field beans."
424520,Livestock Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling livestock."
424590,Other Farm Product Raw Material Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling other farm product raw materials."
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling plastics materials and basic forms and shapes."
424690,Other Chemical and Allied Products Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling other chemical and allied products."
424710,Petroleum Bulk Stations and Terminals,"This industry comprises establishments primarily engaged in operating petroleum bulk stations and terminals."
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"This industry comprises establishments primarily engaged in wholesaling petroleum and petroleum products (except from bulk stations and terminals)."
424810,Beer and Ale Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling beer and ale."
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling wine and distilled alcoholic beverages."
424910,Farm Supplies Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling farm supplies."
424920,Book Periodical and Newspaper Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling books, periodicals, and newspapers."
424930,Flower Nursery Stock and Florists' Supplies Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling flowers, nursery stock, and florists' supplies."
424940,Tobacco and Tobacco Product Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling tobacco and tobacco products."
424950,Paint Varnish and Supplies Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling paint, varnish, and supplies."
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,"This industry comprises establishments primarily engaged in wholesaling miscellaneous nondurable goods."
425110,Business to Business Electronic Markets,"This industry comprises establishments primarily engaged in bringing buyers and sellers together over electronic media (business to business)."
425120,Wholesale Trade Agents and Brokers,"This industry comprises establishments primarily engaged in buying and/or selling products on a commission basis."
44-45,Retail Trade,"This sector comprises establishments engaged in retailing merchandise, generally without transformation, and rendering services incidental to the sale of merchandise."
441110,New Car Dealers,"This industry comprises establishments primarily engaged in retailing new automobiles and light trucks."
441120,Used Car Dealers,"This industry comprises establishments primarily engaged in retailing used automobiles and light trucks."
441210,Recreational Vehicle Dealers,"This industry comprises establishments primarily engaged in retailing recreational vehicles."
441222,Boat Dealers,"This industry comprises establishments primarily engaged in retailing boats."
441228,Motorcycle ATV and All Other Motor Vehicle Dealers,"This industry comprises establishments primarily engaged in retailing motorcycles, ATVs, and other motor vehicles."
441310,Automotive Parts and Accessories Stores,"This industry comprises establishments primarily engaged in retailing new and/or used automotive parts and accessories."
441320,Tire Dealers,"This industry comprises establishments primarily engaged in retailing tires and tubes."
442110,Furniture Stores,"This industry comprises establishments primarily engaged in retailing new furniture."
442210,Floor Covering Stores,"This industry comprises establishments primarily engaged in retailing floor coverings."
442291,Window Treatment Stores,"This industry comprises establishments primarily engaged in retailing window treatments."
442299,All Other Home Furnishings Stores,"This industry comprises establishments primarily engaged in retailing home furnishings (except furniture, floor coverings, and window treatments)."
443141,Household Appliance Stores,"This industry comprises establishments primarily engaged in retailing household appliances."
443142,Electronics Stores,"This industry comprises establishments primarily engaged in retailing consumer electronics."
444110,Home Centers,"This industry comprises establishments primarily engaged in retailing a general line of home repair and improvement materials and supplies."
444120,Paint and Wallpaper Stores,"This industry comprises establishments primarily engaged in retailing paint, wallpaper, and related supplies."
444130,Hardware Stores,"This industry comprises establishments primarily engaged in retailing hardware."
444190,Other Building Material Dealers,"This industry comprises establishments primarily engaged in retailing building materials (except paint, wallpaper, hardware, and home centers)."
444200,Lawn and Garden Equipment and Supplies Stores,"This industry comprises establishments primarily engaged in retailing lawn and garden equipment and supplies."
445110,Supermarkets and Other Grocery (except Convenience) Stores,"This industry comprises establishments primarily engaged in retailing a general line of food."
445120,Convenience Stores,"This industry comprises establishments primarily engaged in retailing a limited line of goods (e.g., milk, bread, soft drinks) in convenience stores."
445210,Meat Markets,"This industry comprises establishments primarily engaged in retailing meat and meat products."
445220,Fish and Seafood Markets,"This industry comprises establishments primarily engaged in retailing fish and seafood."
445230,Fruit and Vegetable Markets,"This industry comprises establishments primarily engaged in retailing fruits and vegetables."
445291,Baked Goods Stores,"This industry comprises establishments primarily engaged in retailing baked goods."
445292,Confectionery and Nut Stores,"This industry comprises establishments primarily engaged in retailing confectionery and nuts."
445299,All Other Specialty Food Stores,"This industry comprises establishments primarily engaged in retailing specialty foods (except meat, fish, seafood, fruit, vegetables, baked goods, and confectionery)."
445310,Beer Wine and Liquor Stores,"This industry comprises establishments primarily engaged in retailing packaged alcoholic beverages."
446110,Pharmacies and Drug Stores,"This industry comprises establishments primarily engaged in retailing prescription or nonprescription drugs and medicines."
446120,Cosmetics Beauty Supplies and Perfume Stores,"This industry comprises establishments primarily engaged in retailing cosmetics, beauty supplies, and perfumes."
446130,Optical Goods Stores,"This industry comprises establishments primarily engaged in retailing eyeglasses and contact lenses."
446191,Food (Health) Supplement Stores,"This industry comprises establishments primarily engaged in retailing food (health) supplements."
446199,All Other Health and Personal Care Stores,"This industry comprises establishments primarily engaged in retailing health and personal care products (except pharmacies, cosmetics, beauty supplies, optical goods, and food supplements)."
447110,Gasoline Stations with Convenience Stores,"This industry comprises establishments engaged in retailing automotive fuels combined with convenience store items."
447190,Other Gasoline Stations,"This industry comprises establishments primarily engaged in retailing automotive fuels (except combined with convenience store items)."
448110,Men's Clothing Stores,"This industry comprises establishments primarily engaged in retailing men's and boys' clothing."
448120,Women's Clothing Stores,"This industry comprises establishments primarily engaged in retailing women's and girls' clothing."
448130,Children's and Infants' Clothing Stores,"This industry comprises establishments primarily engaged in retailing children's and infants' clothing."
448140,Family Clothing Stores,"This industry comprises establishments primarily engaged in retailing clothing for men, women, and children without specializing."
448150,Clothing Accessories Stores,"This industry comprises establishments primarily engaged in retailing clothing accessories."
448190,Other Clothing Stores,"This industry comprises establishments primarily engaged in retailing clothing (except men's, women's, children's, infants', and family clothing stores and clothing accessories stores)."
448210,Shoe Stores,"This industry comprises establishments primarily engaged in retailing footwear."
448220,Jewelry Stores,"This industry comprises establishments primarily engaged in retailing jewelry."
448310,Luggage and Leather Goods Stores,"This industry comprises establishments primarily engaged in retailing luggage and leather goods."
451110,Sporting Goods Stores,"This industry comprises establishments primarily engaged in retailing sporting goods."
451120,Hobby Toy and Game Stores,"This industry comprises establishments primarily engaged in retailing hobby, toy, and game merchandise."
451130,Sewing Needlework and Piece Goods Stores,"This industry comprises establishments primarily engaged in retailing sewing, needlework, and piece goods."
451140,Musical Instrument and Supplies Stores,"This industry comprises establishments primarily engaged in retailing new musical instruments, sheet music, and related supplies. Also includes establishments engaged in instrument repairs and music lessons."
451211,Book Stores,"This industry comprises establishments primarily engaged in retailing new books, newspapers, magazines, and other periodicals."
451212,News Dealers and Newsstands,"This industry comprises establishments primarily engaged in retailing newspapers, magazines, and other periodicals."
452110,Department Stores,"This industry comprises establishments primarily engaged in retailing a wide range of merchandise in department stores."
452210,Discount Department Stores,"This industry comprises establishments primarily engaged in retailing a wide range of merchandise in discount department stores."
452311,Warehouse Clubs and Supercenters,"This industry comprises establishments primarily engaged in retailing a wide range of merchandise in warehouse clubs and supercenters."
452319,All Other General Merchandise Stores,"This industry comprises establishments primarily engaged in retailing general merchandise (except department stores, discount department stores, and warehouse clubs)."
453110,Florists,"This industry comprises establishments primarily engaged in retailing cut flowers, floral arrangements, and potted plants."
453210,Office Supplies and Stationery Stores,"This industry comprises establishments primarily engaged in retailing office supplies and stationery."
453220,
